cfid,spotdate,nvol
AUD_10Y_20Y_AM,2017-01-18,61.38
AUD_10Y_20Y_AM,2017-01-19,61.6
AUD_10Y_20Y_AM,2017-01-20,61.87
AUD_10Y_20Y_N100,2017-01-03,56.69
AUD_10Y_20Y_N100,2017-01-04,56.77
AUD_10Y_20Y_N100,2017-01-05,56.57
AUD_10Y_20Y_N100,2017-01-06,54.87
AUD_10Y_20Y_N100,2017-01-09,56.84
AUD_10Y_20Y_N100,2017-01-10,56.8
AUD_10Y_20Y_N100,2017-01-11,56.53
AUD_10Y_20Y_N100,2017-01-12,57.01
AUD_10Y_20Y_N100,2017-01-13,56.71
AUD_10Y_20Y_N100,2017-01-16,56.76
AUD_10Y_20Y_N100,2017-01-17,56.7
AUD_10Y_20Y_N100,2017-01-18,56.63
AUD_10Y_20Y_N100,2017-01-19,56.97
AUD_10Y_20Y_N100,2017-01-20,57.33
AUD_10Y_20Y_N150,2017-01-03,54.07
AUD_10Y_20Y_N150,2017-01-04,54.12
AUD_10Y_20Y_N150,2017-01-05,53.88
AUD_10Y_20Y_N150,2017-01-06,52.19
AUD_10Y_20Y_N150,2017-01-09,54.12
AUD_10Y_20Y_N150,2017-01-10,54.05
AUD_10Y_20Y_N150,2017-01-11,53.82
AUD_10Y_20Y_N150,2017-01-12,54.2
AUD_10Y_20Y_N150,2017-01-13,53.94
AUD_10Y_20Y_N150,2017-01-16,54.01
AUD_10Y_20Y_N150,2017-01-17,53.91
AUD_10Y_20Y_N150,2017-01-18,53.9
AUD_10Y_20Y_N150,2017-01-19,54.32
AUD_10Y_20Y_N150,2017-01-20,54.75
AUD_10Y_20Y_N25,2017-01-03,60.18
AUD_10Y_20Y_N25,2017-01-04,60.31
AUD_10Y_20Y_N25,2017-01-05,60.16
AUD_10Y_20Y_N25,2017-01-06,58.42
AUD_10Y_20Y_N25,2017-01-09,60.48
AUD_10Y_20Y_N25,2017-01-10,60.46
AUD_10Y_20Y_N25,2017-01-11,60.14
AUD_10Y_20Y_N25,2017-01-12,60.73
AUD_10Y_20Y_N25,2017-01-13,60.39
AUD_10Y_20Y_N25,2017-01-16,60.42
AUD_10Y_20Y_N25,2017-01-17,60.4
AUD_10Y_20Y_N25,2017-01-18,60.26
AUD_10Y_20Y_N25,2017-01-19,60.51
AUD_10Y_20Y_N25,2017-01-20,60.8
AUD_10Y_20Y_N50,2017-01-03,59.06
AUD_10Y_20Y_N50,2017-01-04,59.18
AUD_10Y_20Y_N50,2017-01-05,59.01
AUD_10Y_20Y_N50,2017-01-06,57.29
AUD_10Y_20Y_N50,2017-01-09,59.32
AUD_10Y_20Y_N50,2017-01-10,59.29
AUD_10Y_20Y_N50,2017-01-11,58.99
AUD_10Y_20Y_N50,2017-01-12,59.54
AUD_10Y_20Y_N50,2017-01-13,59.22
AUD_10Y_20Y_N50,2017-01-16,59.25
AUD_10Y_20Y_N50,2017-01-17,59.22
AUD_10Y_20Y_N50,2017-01-18,59.1
AUD_10Y_20Y_N50,2017-01-19,59.38
AUD_10Y_20Y_N50,2017-01-20,59.69
AUD_10Y_20Y_P100,2017-01-03,65.24
AUD_10Y_20Y_P100,2017-01-04,65.43
AUD_10Y_20Y_P100,2017-01-05,65.33
AUD_10Y_20Y_P100,2017-01-06,63.53
AUD_10Y_20Y_P100,2017-01-09,65.71
AUD_10Y_20Y_P100,2017-01-10,65.72
AUD_10Y_20Y_P100,2017-01-11,65.35
AUD_10Y_20Y_P100,2017-01-12,66.08
AUD_10Y_20Y_P100,2017-01-13,65.68
AUD_10Y_20Y_P100,2017-01-16,65.68
AUD_10Y_20Y_P100,2017-01-17,65.72
AUD_10Y_20Y_P100,2017-01-18,65.5
AUD_10Y_20Y_P100,2017-01-19,65.62
AUD_10Y_20Y_P100,2017-01-20,65.83
AUD_10Y_20Y_P150,2017-01-03,67.07
AUD_10Y_20Y_P150,2017-01-04,67.28
AUD_10Y_20Y_P150,2017-01-05,67.2
AUD_10Y_20Y_P150,2017-01-06,65.37
AUD_10Y_20Y_P150,2017-01-09,67.6
AUD_10Y_20Y_P150,2017-01-10,67.62
AUD_10Y_20Y_P150,2017-01-11,67.22
AUD_10Y_20Y_P150,2017-01-12,68.01
AUD_10Y_20Y_P150,2017-01-13,67.59
AUD_10Y_20Y_P150,2017-01-16,67.57
AUD_10Y_20Y_P150,2017-01-17,67.63
AUD_10Y_20Y_P150,2017-01-18,67.38
AUD_10Y_20Y_P150,2017-01-19,67.47
AUD_10Y_20Y_P150,2017-01-20,67.65
AUD_10Y_20Y_P25,2017-01-03,62.3
AUD_10Y_20Y_P25,2017-01-04,62.46
AUD_10Y_20Y_P25,2017-01-05,62.33
AUD_10Y_20Y_P25,2017-01-06,60.57
AUD_10Y_20Y_P25,2017-01-09,62.67
AUD_10Y_20Y_P25,2017-01-10,62.67
AUD_10Y_20Y_P25,2017-01-11,62.33
AUD_10Y_20Y_P25,2017-01-12,62.98
AUD_10Y_20Y_P25,2017-01-13,62.61
AUD_10Y_20Y_P25,2017-01-16,62.62
AUD_10Y_20Y_P25,2017-01-17,62.63
AUD_10Y_20Y_P25,2017-01-18,62.46
AUD_10Y_20Y_P25,2017-01-19,62.65
AUD_10Y_20Y_P25,2017-01-20,62.91
AUD_10Y_20Y_P50,2017-01-03,63.31
AUD_10Y_20Y_P50,2017-01-04,63.48
AUD_10Y_20Y_P50,2017-01-05,63.36
AUD_10Y_20Y_P50,2017-01-06,61.58
AUD_10Y_20Y_P50,2017-01-09,63.72
AUD_10Y_20Y_P50,2017-01-10,63.72
AUD_10Y_20Y_P50,2017-01-11,63.36
AUD_10Y_20Y_P50,2017-01-12,64.04
AUD_10Y_20Y_P50,2017-01-13,63.67
AUD_10Y_20Y_P50,2017-01-16,63.67
AUD_10Y_20Y_P50,2017-01-17,63.69
AUD_10Y_20Y_P50,2017-01-18,63.5
AUD_10Y_20Y_P50,2017-01-19,63.67
AUD_10Y_20Y_P50,2017-01-20,63.91
AUD_10Y_2Y_AM,2017-01-03,78.41
AUD_10Y_2Y_AM,2017-01-04,77.97
